step,price,action,action_name,q_hold,q_buy,q_sell
87,98.74853515625,1,BUY,20986.965,20991.602,20976.21
88,99.6825942993164,2,SELL,20978.016,20999.504,21002.852
89,98.75788116455078,0,HOLD,21011.16,20996.29,21010.848
90,98.12272644042967,0,HOLD,20975.195,20960.324,20974.88
91,98.0946807861328,0,HOLD,20999.133,20984.262,20998.816
92,98.61773681640624,0,HOLD,20996.262,20981.389,20995.945
93,98.89797973632812,2,SELL,21024.766,21010.082,21027.727
94,100.25235748291016,0,HOLD,21017.922,21003.05,21017.607
95,99.3463134765625,2,SELL,21010.83,21002.387,21016.818
96,98.9073257446289,2,SELL,21004.91,21019.941,21022.504
97,98.54305267333984,2,SELL,21037.55,21029.291,21043.537
98,99.77599334716795,2,SELL,21032.953,21036.441,21039.635
99,98.52435302734376,2,SELL,21031.398,21037.545,21039.398
100,98.8792953491211,2,SELL,21030.541,21031.799,21036.527
101,98.3655776977539,2,SELL,21010.678,21025.043,21028.234
102,99.44905853271484,2,SELL,21063.637,21050.594,21068.24
103,99.31832122802734,2,SELL,21056.398,21043.355,21061.004
104,101.30783081054688,0,HOLD,21024.527,21009.654,21024.209
105,102.03639221191406,0,HOLD,21007.398,20992.527,21007.084
106,102.3353271484375,0,HOLD,20989.912,20975.043,20989.598
107,102.86772918701172,0,HOLD,20948.18,20933.309,20947.863
108,103.0638656616211,0,HOLD,20901.29,20886.42,20900.977
109,103.07321166992188,0,HOLD,20887.992,20873.123,20887.68
110,103.28802490234376,0,HOLD,20875.246,20860.371,20874.93
111,102.80235290527344,0,HOLD,20846.332,20831.463,20846.02
112,103.17594909667967,0,HOLD,20886.28,20850.578,20876.266
113,102.91443634033205,0,HOLD,20887.89,20850.56,20876.25
114,103.09188079833984,0,HOLD,21025.92,20912.896,20985.95
115,102.92374420166016,0,HOLD,21029.8,20917.305,20990.354
116,101.75617980957033,0,HOLD,20950.504,20878.223,20905.611
117,100.90619659423828,0,HOLD,20989.316,20885.047,20944.426
118,100.90619659423828,0,HOLD,21060.54,21015.826,21040.805
119,100.61663055419922,0,HOLD,21039.61,20952.273,21022.04
120,100.9155502319336,0,HOLD,21040.258,20975.629,21032.648
121,99.73268127441406,0,HOLD,21043.47,20989.541,21030.922
122,100.3601531982422,0,HOLD,21096.037,21023.756,21068.57
123,100.67859649658205,0,HOLD,21131.154,21082.93,21116.602
124,100.4350814819336,0,HOLD,21146.96,21098.58,21132.336
125,101.86799621582033,0,HOLD,21153.068,21104.613,21138.416
126,97.67227935791016,0,HOLD,21144.492,21096.143,21129.883
127,95.73362731933594,0,HOLD,21145.557,21097.191,21130.938
128,97.8314971923828,0,HOLD,21179.244,21126.412,21164.586
129,99.56410217285156,0,HOLD,21177.617,21104.688,21149.516
130,100.71604919433594,0,HOLD,21100.512,21043.0,21072.89
131,101.2217788696289,0,HOLD,21028.934,20915.594,20988.646
132,100.6036605834961,0,HOLD,21001.828,20904.156,20956.938
133,101.42784881591795,0,HOLD,20973.258,20917.715,20928.367
134,101.72752380371094,0,HOLD,21021.814,20919.11,20977.129
135,103.30093383789062,0,HOLD,20941.736,20940.906,20930.771
136,103.89095306396484,2,SELL,20973.85,20960.629,20975.184
137,104.41539764404295,0,HOLD,20983.438,20968.562,20983.121
