Date,Action,Action_Name,group
2022-07-11,0,HOLD,61
2022-07-12,2,SELL,62
2022-07-13,0,HOLD,63
2022-07-14,0,HOLD,63
2022-07-15,2,SELL,64
2022-07-18,2,SELL,64
2022-07-19,2,SELL,64
2022-07-20,2,SELL,64
2022-07-21,2,SELL,64
2022-07-22,2,SELL,64
2022-07-25,2,SELL,64
2022-07-26,2,SELL,64
2022-07-27,0,HOLD,65
2022-07-28,0,HOLD,65
2022-07-29,0,HOLD,65
2022-08-01,2,SELL,66
2022-08-02,0,HOLD,67
2022-08-03,2,SELL,68
2022-08-04,2,SELL,68
2022-08-05,2,SELL,68
2022-08-08,0,HOLD,69
2022-08-09,1,BUY,70
2022-08-10,2,SELL,71
2022-08-11,0,HOLD,72
2022-08-12,2,SELL,73
2022-08-15,0,HOLD,74
2022-08-16,2,SELL,75
2022-08-17,0,HOLD,76
2022-08-18,2,SELL,77
2022-08-19,0,HOLD,78
2022-08-22,1,BUY,79
2022-08-23,2,SELL,80
2022-08-24,0,HOLD,81
2022-08-25,0,HOLD,81
2022-08-26,0,HOLD,81
2022-08-29,2,SELL,82
2022-08-30,0,HOLD,83
2022-08-31,2,SELL,84
2022-09-01,2,SELL,84
2022-09-02,0,HOLD,85
2022-09-06,2,SELL,86
2022-09-07,2,SELL,86
2022-09-08,0,HOLD,87
2022-09-09,0,HOLD,87
2022-09-12,2,SELL,88
2022-09-13,0,HOLD,89
2022-09-14,0,HOLD,89
2022-09-15,0,HOLD,89
2022-09-16,1,BUY,90
2022-09-19,0,HOLD,91
2022-09-20,0,HOLD,91
2022-09-21,2,SELL,92
2022-09-22,0,HOLD,93
2022-09-23,0,HOLD,93
2022-09-26,0,HOLD,93
2022-09-27,2,SELL,94
2022-09-28,0,HOLD,95
2022-09-29,1,BUY,96
2022-09-30,2,SELL,97
2022-10-03,0,HOLD,98
2022-10-04,0,HOLD,98
2022-10-05,2,SELL,99
2022-10-06,2,SELL,99
2022-10-07,0,HOLD,100
2022-10-10,0,HOLD,100
2022-10-11,0,HOLD,100
2022-10-12,0,HOLD,100
2022-10-13,0,HOLD,100
2022-10-14,2,SELL,101
2022-10-17,0,HOLD,102
2022-10-18,0,HOLD,102
2022-10-19,0,HOLD,102
2022-10-20,0,HOLD,102
2022-10-21,0,HOLD,102
2022-10-24,2,SELL,103
2022-10-25,0,HOLD,104
2022-10-26,0,HOLD,104
2022-10-27,2,SELL,105
2022-10-28,0,HOLD,106
2022-10-31,0,HOLD,106
2022-11-01,0,HOLD,106
2022-11-02,2,SELL,107
2022-11-03,0,HOLD,108
2022-11-04,2,SELL,109
2022-11-07,0,HOLD,110
2022-11-08,2,SELL,111
2022-11-09,2,SELL,111
2022-11-10,0,HOLD,112
2022-11-11,0,HOLD,112
2022-11-14,0,HOLD,112
2022-11-15,0,HOLD,112
2022-11-16,2,SELL,113
2022-11-17,0,HOLD,114
2022-11-18,0,HOLD,114
2022-11-21,0,HOLD,114
2022-11-22,0,HOLD,114
2022-11-23,0,HOLD,114
2022-11-25,2,SELL,115
2022-11-28,2,SELL,115
2022-11-29,0,HOLD,116
2022-11-30,0,HOLD,116
2022-12-01,0,HOLD,116
2022-12-02,2,SELL,117
2022-12-05,2,SELL,117
2022-12-06,2,SELL,117
2022-12-07,0,HOLD,118
2022-12-08,2,SELL,119
2022-12-09,2,SELL,119
2022-12-12,0,HOLD,120
2022-12-13,1,BUY,121
2022-12-14,1,BUY,121
2022-12-15,0,HOLD,122
2022-12-16,2,SELL,123
2022-12-19,2,SELL,123
2022-12-20,2,SELL,123
2022-12-21,2,SELL,123
2022-12-22,2,SELL,123
2022-12-23,0,HOLD,124
2022-12-27,0,HOLD,124
2022-12-28,1,BUY,125
2022-12-29,2,SELL,126
2022-12-30,2,SELL,126
2023-01-03,2,SELL,126
2023-01-04,2,SELL,126
2023-01-05,2,SELL,126
2023-01-06,2,SELL,126
2023-01-09,2,SELL,126
2023-01-10,2,SELL,126
2023-01-11,2,SELL,126
2023-01-12,2,SELL,126
2023-01-13,2,SELL,126
2023-01-17,2,SELL,126
2023-01-18,2,SELL,126
2023-01-19,2,SELL,126
2023-01-20,2,SELL,126
2023-01-23,2,SELL,126
2023-01-24,2,SELL,126
2023-01-25,2,SELL,126
2023-01-26,2,SELL,126
2023-01-27,2,SELL,126
2023-01-30,2,SELL,126
2023-01-31,2,SELL,126
2023-02-01,2,SELL,126
2023-02-02,1,BUY,127
2023-02-03,1,BUY,127
2023-02-06,1,BUY,127
2023-02-07,1,BUY,127
2023-02-08,1,BUY,127
2023-02-09,2,SELL,128
2023-02-10,0,HOLD,129
2023-02-13,1,BUY,130
2023-02-14,2,SELL,131
2023-02-15,1,BUY,132
2023-02-16,2,SELL,133
2023-02-17,2,SELL,133
2023-02-21,1,BUY,134
2023-02-22,2,SELL,135
2023-02-23,2,SELL,135
2023-02-24,2,SELL,135
2023-02-27,2,SELL,135
2023-02-28,2,SELL,135
2023-03-01,2,SELL,135
2023-03-02,2,SELL,135
2023-03-03,2,SELL,135
2023-03-06,1,BUY,136
2023-03-07,2,SELL,137
2023-03-08,2,SELL,137
2023-03-09,2,SELL,137
2023-03-10,2,SELL,137
2023-03-13,1,BUY,138
2023-03-14,0,HOLD,139
2023-03-15,2,SELL,140
2023-03-16,0,HOLD,141
2023-03-17,1,BUY,142
2023-03-20,1,BUY,142
2023-03-21,1,BUY,142
2023-03-22,0,HOLD,143
2023-03-23,1,BUY,144
2023-03-24,1,BUY,144
2023-03-27,1,BUY,144
2023-03-28,1,BUY,144
2023-03-29,1,BUY,144
2023-03-30,1,BUY,144
2023-03-31,0,HOLD,145
2023-04-03,1,BUY,146
2023-04-04,0,HOLD,147
2023-04-05,1,BUY,148
2023-04-06,1,BUY,148
2023-04-10,0,HOLD,149
2023-04-11,0,HOLD,149
2023-04-12,0,HOLD,149
2023-04-13,2,SELL,150
2023-04-14,0,HOLD,151
2023-04-17,0,HOLD,151
